urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:cbe:lbm1:np05mg,urn:ogc:def:parameter:x-istsos:1.0:cbe:lbm1:np25mg
2014-04-10T10:56,3737,184
2014-04-10T11:05,3746,206
2014-04-10T11:07,3717,228
2014-04-10T11:09,3672,217
2014-04-10T11:11,3656,192
2014-04-10T11:13,3775,214
2014-04-10T11:15,3745,235
2014-04-10T11:17,3691,216
2014-04-10T11:19,3719,226
2000-01-01T05:31,4356
2000-01-01T05:33,4138
2000-01-01T05:35,3130
2000-01-01T05:37,3325
2000-01-01T05:41,3534
2000-01-01T05:43,3826
2000-01-01T05:47,3739,245
2000-01-01T05:49,3659,234
2000-01-01T05:51,3726,221
2000-01-01T05:53,3702,218
2000-01-01T05:55,3756,227
2000-01-01T05:57,3567,210
2000-01-01T05:59,3521,203
2000-01-01T06:01,3559,211
2000-01-01T06:03,3600,212
2000-01-01T06:05,3626,242
2014-04-10T12:01,3635,231
2014-04-10T12:03,3673,222
2014-04-10T12:05,3789,219
2014-04-10T12:07,3843,245
