,,,,,,,,,,,,,,,,,,,,,,
SamplingDate,SO2_6AM_10AM,SO2_10AM_2PM,SO2_2PM_6PM,SO2_6PM_10PM,SO2_10PM_2AM,SO2_2AM_6AM,NO2_6AM_10AM,NO2_10AM_2PM,NO2_2PM_6PM,NO2_6PM_10PM,NO2_10PM_2AM,NO2_2AM_6AM,RSPM_6AM_2PM,RSPM_2PM_10PM,RSPM_10PM_6AM,SPM_6AM_2PM,SPM_2PM_10PM,SPM_10PM_6AM,RSPM,SO2,SPM,NO2
4/1/2008,5.4,4,4.2,4.2,4,4,37.7,17,23.5,16.8,43.6,43.6,179,114,54,433,323,86,115.6666,4.3,280.6666,30.3666
8/1/2008,4,4,4,4,12.5,4,25.4,17.9,12.2,17.9,11.2,10.1,162,124,206,320,339,243,164,5.4166,300.6666,15.7833
29/07/2008,8,9.1,4,4,4,10.8,26.3,24.6,53.7,29.1,25.6,16.8,173,141,95,252,190,101,136.3333,6.65,181,29.35
3/10/2008,11.6,4,,8.9,4,5.5,54.8,70.2,,56.7,45.9,41.8,78,74,48,172,226,90,66.6666,6.8,162.6666,53.88
7/10/2008,7.5,,,6.7,10.8,,89.5,,,47.7,38,,156,,115,231,,142,135.5,,186.5,
10/10/2008,9.9,,7.5,8.9,,4,84,,35,132,,41,75,111,238,226,144,392,141.3333,7.575,254,73
14/10/2008,4,9.5,5,10.8,23.3,4,71.1,67.8,34.7,51.5,66,44.8,117,107,77,172,131,100,100.3333,9.4333,134.3333,55.9833
17/10/2008,9.5,10.8,4,4,4,4,66.4,78.3,83.6,50.2,58.2,36.9,81,131,69,132,167,99,93.6666,6.05,132.6666,62.2666
28/10/2008,4,14.1,10.8,8.3,4,4,26.9,34.7,24.6,30.2,20.1,33.6,70,111,102,168,206,155,94.3333,7.5333,176.3333,28.35
31/10/2008,4,10.6,8.3,13.6,4.9,4,72.7,66.2,43.6,69.6,34.7,24.6,78,74,48,172,226,90,66.6666,7.5666,162.6666,51.9
1/4/2008,6,4,4,4,5.8,4.2,53.7,22.4,20.1,12.3,22.4,24.6,169,162,115,210,170,144,148.6666,4.6666,174.6666,25.9166
4/4/2008,4,6.7,8.3,4,4,4,46,30.7,25.7,28,22.4,24.6,107,78,64,182,179,76,83,5.1666,145.6666,29.5666
8/4/2008,,,7.5,5,4,4,,,30.2,28,19,21.3,,127,47,,301,65,87,5.125,183,24.625
11/4/2008,,10.8,12.5,4,4,4,,35.8,31.3,17.4,21.3,19,232,118,55,321,320,112,135,7.06,251,24.96
15/04/2008,8.6,7.7,12.5,4,4,6.7,26.9,22.5,45.9,35.8,31.3,28,140,116,73,282,166,78,109.6666,7.25,175.3333,31.7333
22/04/2008,,,5.8,4,4,4,,,16.8,17.9,19,16.8,,149,121,,229,164,135,4.45,196.5,17.625
25/04/2008,,,9.5,10,4,,,,34.5,31.3,17.9,,,101,74,,209,96,87.5,,152.5,
29/04/2008,,12.5,5.8,4,4,4,,29.1,16.8,14.5,21.3,19,284,174,73,387,494,158,177,6.06,346.3333,20.14
5/10/2007,4,4,4.2,5.8,4,4,25.7,33.6,33.6,26.9,33.6,26.9,89,296,59,142,480,136,148,4.3333,252.6666,30.05
9/10/2007,4,4.2,4,4,4,4,32.6,42.4,39.1,35.8,26.9,26.9,231,127,67,262,180,97,141.6666,4.0333,179.6666,33.95
12/10/2007,4.2,,4.2,4,10,4,56,,26.9,23.9,16.8,16.8,148,86,57,215,221,91,97,5.28,175.6666,28.08
16/10/2007,5.3,5.8,,4,4,4,46.6,29.1,,16.6,12.3,11.2,71,100,47,208,103,49,72.6666,4.62,120,23.16
19/10/2007,8.6,7.8,8.3,,,,30.7,32.8,26.9,,,,120,96,,293,241,,108,,267,
23/10/2007,4,7.8,,,4,4,44.8,18.3,,,31.3,36.9,73,,73,146,,106,73,4.95,126,32.825
26/10/2007,7.5,5.7,10,5.1,4,4,51.5,13.8,24.2,12.1,17.9,13.4,86,76,56,130,135,70,72.6666,6.05,111.6666,22.15
30/10/2007,7.5,4,4.2,4,4,5,32.5,26.2,21.3,22.4,12.3,11.2,138,102,98,194,164,104,112.6666,4.7833,154,20.9833
11/1/2008,4.8,7.8,8.6,9.1,9.1,18.3,19.2,19.9,16.6,21.3,19,21.3,144,245,110,345,251,310,166.3333,9.6166,302,19.55
18/01/2008,4,4,4,4,4,4,35.8,41.4,42.5,26.9,30.2,44.8,105,135,59,349,319,152,99.6666,4,273.3333,36.9333
22/01/2008,10.2,12.5,6.7,4,5.8,4,22.5,25.7,25.7,53.7,36.9,43.6,90,80,219,345,113,235,129.6666,7.2,231,34.6833
25/01/2008,10.5,15,12.5,10,5.8,4,39.6,40.3,48.1,39.2,33.6,31.3,131,80,104,359,302,185,105,9.6333,282,38.6833
29/01/2008,6.7,11.6,8.3,4,4,13.3,29.1,41.4,45.9,40.3,31.3,21.3,230,348,161,249,465,182,246.3333,7.9833,298.6666,34.8833
2/9/2008,4,,7.5,13.3,4.9,4,34,,42.5,61.2,51.5,34.5,12,108,70,243,243,151,63.3333,6.74,212.3333,44.74
5/9/2008,4,,4,,4,4,26.9,,41.4,,46,35.8,114,205,78,236,324,133,132.3333,4,231,37.525
9/9/2008,7.8,9.1,10.8,6.7,4,4,58.2,53.7,58.2,45.9,32.5,40.3,129,110,81,256,179,152,106.6666,7.0666,195.6666,48.1333
16/09/2008,,,4,13.3,4,4,,,26.9,63.5,44.8,32.5,100,125,77,348,316,135,100.6666,6.325,266.3333,41.925
