,SamplingDate,SO2_6AM_10AM_238,SO2_10AM_2PM_238,SO2_2PM_6PM_238,SO2_6PM_10PM_238,SO2_10PM_2AM_238,SO2_2AM_6AM_238,NO2_6AM_10AM_238,NO2_10AM_2PM_238,NO2_2PM_6PM_238,NO2_6PM_10PM_238,NO2_10PM_2AM_238,NO2_2AM_6AM_238,RSPM_6AM_2PM_238,RSPM_2PM_10PM_238,RSPM_10PM_6AM_238,SPM_6AM_2PM_238,SPM_2PM_10PM_238,SPM_10PM_6AM_238,RSPM_238,SO2_238,SPM_238,NO2_238,SO2_6AM_10AM_375,SO2_10AM_2PM_375,SO2_2PM_6PM_375,SO2_6PM_10PM_375,SO2_10PM_2AM_375,SO2_2AM_6AM_375,NO2_6AM_10AM_375,NO2_10AM_2PM_375,NO2_2PM_6PM_375,NO2_6PM_10PM_375,NO2_10PM_2AM_375,NO2_2AM_6AM_375,RSPM_6AM_2PM_375,RSPM_2PM_10PM_375,RSPM_10PM_6AM_375,SPM_6AM_2PM_375,SPM_2PM_10PM_375,SPM_10PM_6AM_375,RSPM_375,SO2_375,SPM_375,NO2_375
0,2011-04-20 00:00:00,,4.0,4.0,4.0,4.0,4.0,,33.2,27.8,36.4,37.5,32.1,47.0,34.0,42.0,71.0,59.0,93.0,41.0,4.0,74.3333,33.4,4.0,,4.0,4.0,,,31.4,,18.6,20.1,,,63.0,50.0,,113.0,131.0,,56.5,,122.0,
1,2011-04-06 00:00:00,,4.0,4.0,4.0,4.0,4.0,,24.6,26.8,18.2,22.5,16.1,32.0,72.0,68.0,38.0,130.0,82.0,57.3333,4.0,83.3333,21.64,4.0,,4.0,4.0,,,17.1,,14.3,21.4,,,64.0,84.0,,89.0,192.0,,74.0,,140.5,
2,2011-03-30 00:00:00,,4.0,4.0,4.0,,,,24.6,20.3,21.3,,,59.0,66.0,,74.0,77.0,,62.5,,75.5,,4.0,,4.0,4.0,,,22.5,,22.9,32.1,,,89.0,83.0,,210.0,159.0,,86.0,,184.5,
3,2011-03-23 00:00:00,,4.0,4.0,4.0,4.0,4.0,,26.8,31.1,22.5,17.1,19.3,134.0,55.0,37.0,299.0,97.0,45.0,75.3333,4.0,147.0,23.36,4.0,,,4.0,,,15.0,,,17.1,,,92.0,63.0,,229.0,115.0,,77.5,,172.0,
4,2011-03-09 00:00:00,,4.0,4.0,4.0,,,,20.3,19.3,25.7,,,97.0,77.0,,194.0,141.0,,87.0,,167.5,,4.0,,4.0,4.0,,,26.8,,23.3,19.3,,,108.0,129.0,,218.0,231.0,,118.5,,224.5,
5,2011-03-02 00:00:00,,4.0,4.0,4.0,,,,27.8,20.3,22.5,,,25.0,63.0,,72.0,183.0,,44.0,,127.5,,4.0,,4.0,4.0,,,24.6,,17.1,19.3,,,10.0,44.0,,45.0,45.0,,27.0,,45.0,
6,2011-02-23 00:00:00,,4.0,4.0,4.0,4.0,4.0,,19.3,25.7,20.3,24.6,19.3,50.0,35.0,39.0,166.0,99.0,51.0,41.3333,4.0,105.3333,21.84,4.0,,4.0,4.0,,,20.3,,19.3,17.1,,,122.0,54.0,,138.0,145.0,,88.0,,141.5,
7,2011-02-09 00:00:00,,4.0,4.0,4.0,4.0,4.0,,28.9,20.3,24.6,21.4,15.0,26.0,88.0,89.0,148.0,203.0,188.0,67.6666,4.0,179.6666,22.04,4.0,4.0,,4.0,,,25.7,20.3,,21.4,,,100.0,108.0,,162.0,311.0,,104.0,,236.5,
8,2011-02-02 00:00:00,,4.0,4.0,4.0,4.0,4.0,,17.1,18.2,20.3,32.1,21.4,96.0,142.0,66.0,274.0,565.0,129.0,101.3333,4.0,322.6666,21.82,4.0,,4.0,4.0,,,26.8,,17.1,20.3,,,109.0,95.0,,302.0,263.0,,102.0,,282.5,
9,2009-12-30 00:00:00,,4.0,6.6,5.2,4.0,4.0,,26.8,28.9,38.6,16.1,18.2,214.0,110.0,220.0,237.0,214.0,243.0,181.3333,4.76,231.3333,25.72,4.0,,4.7,4.0,,,21.4,,37.5,21.4,,,97.0,209.0,,170.0,278.0,,153.0,,224.0,
10,2009-12-23 00:00:00,,52.0,4.0,4.0,4.0,4.0,,22.5,25.7,20.4,17.1,18.2,56.0,45.0,78.0,125.0,61.0,103.0,59.6666,13.6,96.3333,20.7799,4.0,,5.2,4.0,,,20.4,,16.1,15.0,,,48.0,60.0,,111.0,111.0,,54.0,,111.0,
11,2009-12-16 00:00:00,,4.7,4.0,4.0,4.0,4.2,,28.9,17.1,13.9,17.1,16.1,154.0,47.0,60.0,261.0,75.0,140.0,87.0,4.18,158.6666,18.62,6.1,,7.1,4.0,,,15.0,,20.4,13.9,,,40.0,46.0,,75.0,64.0,,43.0,,69.5,
12,2009-12-09 00:00:00,,7.1,9.9,4.0,4.0,4.0,,33.2,50.4,30.0,22.5,19.3,48.0,85.0,52.0,98.0,123.0,59.0,61.6666,5.8,93.3333,31.08,4.0,,4.0,4.7,,,26.8,,20.4,38.6,,,82.0,171.0,,204.0,270.0,,126.5,,237.0,
13,2009-12-02 00:00:00,,4.0,8.0,8.9,4.0,4.0,,16.1,15.0,27.9,21.4,17.1,53.0,5.0,85.0,97.0,18.0,91.0,47.6666,5.7799,68.6666,19.5,4.0,,4.0,4.0,,,24.6,,11.8,21.4,,,55.0,103.0,,65.0,195.0,,79.0,,130.0,
14,2009-11-25 00:00:00,,4.2,6.1,8.0,9.9,8.9,,31.0,13.9,15.0,18.2,17.1,44.0,63.0,68.0,104.0,117.0,92.0,58.3333,7.42,104.3333,19.04,4.0,,4.0,4.2,,,21.4,,19.3,13.9,,,72.0,67.0,,143.0,200.0,,69.5,,171.5,
15,2009-11-18 00:00:00,,4.0,5.2,4.0,4.0,4.0,,17.1,19.3,16.0,32.1,21.4,,86.0,89.0,,103.0,97.0,87.5,4.24,100.0,21.18,4.0,,4.0,4.0,,,10.7,,13.9,15.0,,,80.0,61.0,,112.0,77.0,,70.5,,94.5,
16,2009-11-11 00:00:00,,4.7,,,4.0,4.0,,27.9,,,39.6,15.0,108.0,,88.0,118.0,,102.0,98.0,,110.0,,4.0,,4.0,4.0,,,42.8,,32.1,27.9,,,103.0,63.0,,110.0,97.0,,83.0,,103.5,
17,2009-11-04 00:00:00,,4.0,4.0,5.7,,,,18.2,11.8,17.1,,,81.0,68.0,,438.0,191.0,,74.5,,314.5,,4.0,,4.0,8.6,,,21.4,,19.3,27.0,,,45.0,53.0,,75.0,95.0,,49.0,,85.0,
18,2009-10-28 00:00:00,,8.0,4.0,4.0,9.4,4.0,,35.4,49.3,21.4,42.9,27.9,43.0,38.0,39.0,167.0,131.0,43.0,40.0,5.88,113.6666,35.38,4.0,,4.0,4.0,,,28.6,,18.2,24.6,,,59.0,28.0,,107.0,65.0,,43.5,,86.0,
19,2009-10-21 00:00:00,,22.6,25.4,4.0,4.0,4.0,,10.7,14.0,13.0,14.0,17.0,70.0,37.0,94.0,133.0,97.0,149.0,67.0,12.0,126.3333,13.74,,4.0,4.0,12.7,,,,14.0,13.0,13.0,,,38.0,56.0,,147.0,157.0,,47.0,,152.0,
20,2009-10-14 00:00:00,4.0,6.6,8.0,4.0,4.2,4.0,19.3,21.4,31.0,30.0,10.7,10.7,72.0,87.0,97.0,85.0,96.0,134.0,85.3333,5.1333,105.0,20.5166,4.0,4.0,6.1,9.4,5.2,4.0,27.4,21.4,17.1,18.2,10.7,15.0,98.0,87.0,80.0,146.0,106.0,104.0,88.3333,5.45,118.6666,18.3
21,2009-10-07 00:00:00,,8.0,4.0,4.0,4.0,4.0,,20.4,13.9,16.1,12.9,15.0,40.0,48.0,29.0,87.0,93.0,47.0,39.0,4.8,75.6666,15.66,5.2,,4.0,4.0,,,17.1,,14.0,16.0,,,22.0,21.0,,41.0,49.0,,21.5,,45.0,
